Date,Open,High,Low,Close,Adj Close,Volume
1995-01-12,6.687500,6.720000,6.532500,6.562500,2.391347,3244400
1995-01-13,6.625000,6.657500,6.500000,6.625000,2.414120,3499200
1995-01-16,6.720000,6.750000,6.687500,6.750000,2.459670,4097200
1995-01-17,6.657500,6.687500,6.532500,6.657500,2.425963,3227200
1995-01-18,6.532500,6.720000,6.500000,6.720000,2.448739,4242400
1995-01-19,6.657500,6.720000,6.657500,6.687500,2.463472,977600
1995-01-20,6.657500,6.657500,6.562500,6.625000,2.440450,1712400
1995-01-23,6.562500,6.595000,6.470000,6.562500,2.417428,1274800
1995-01-24,6.595000,6.720000,6.562500,6.687500,2.463472,1775200
1995-01-25,6.687500,6.907500,6.687500,6.875000,2.532542,6105200
1995-01-26,6.812500,6.907500,6.750000,6.782500,2.498468,2628800
1995-01-27,6.812500,6.845000,6.720000,6.750000,2.486496,2976000
1995-01-30,6.720000,6.812500,6.687500,6.720000,2.475446,2864800
1995-01-31,6.750000,6.875000,6.750000,6.875000,2.532542,4240400
1995-02-01,6.875000,6.970000,6.845000,6.875000,2.532542,3376800
1995-02-02,6.845000,6.937500,6.812500,6.937500,2.555565,1088000
1995-02-03,6.970000,7.062500,6.937500,7.000000,2.578588,5730000
1995-02-06,6.970000,7.095000,6.970000,7.000000,2.578588,3242000
1995-02-07,7.000000,7.000000,6.907500,6.937500,2.555565,1545600
1995-02-08,6.907500,7.000000,6.875000,6.970000,2.567536,2406800
1995-02-09,6.970000,7.095000,6.970000,7.000000,2.578588,4827600
1995-02-10,6.937500,7.000000,6.875000,6.937500,2.555565,800000
1995-02-13,6.907500,6.907500,6.845000,6.875000,2.532542,663200
1995-02-14,6.937500,7.000000,6.875000,6.970000,2.567536,1876000
1995-02-15,6.970000,7.095000,6.970000,7.095000,2.613583,2712400
1995-02-16,7.062500,7.095000,6.937500,6.937500,2.555565,4535200
1995-02-17,6.937500,7.000000,6.907500,6.970000,2.567536,1484800
1995-02-20,6.937500,7.000000,6.937500,6.970000,2.567536,813200
1995-02-21,7.000000,7.062500,7.000000,7.032500,2.590561,1516000
1995-02-22,7.000000,7.095000,7.000000,7.095000,2.613583,1683600
1995-02-23,7.125000,7.220000,7.125000,7.157500,2.636607,4170000
1995-02-24,7.125000,7.125000,7.032500,7.062500,2.601611,2659200
1995-02-27,7.000000,7.125000,6.970000,7.062500,2.601611,3371200
1995-02-28,7.157500,7.220000,7.125000,7.187500,2.647657,2490000
1995-03-01,7.157500,7.250000,7.125000,7.220000,2.659631,3502800
1995-03-02,7.220000,7.282500,7.187500,7.220000,2.659631,6883200
1995-03-03,7.187500,7.282500,7.125000,7.250000,2.670681,2140400
1995-03-06,7.220000,7.282500,7.187500,7.282500,2.682652,2548000
1995-03-07,7.250000,7.282500,7.187500,7.220000,2.659631,3560800
1995-03-08,7.250000,7.312500,7.220000,7.312500,2.693704,1672000
1995-03-09,7.282500,7.312500,7.220000,7.250000,2.670681,718400
1995-03-10,7.282500,7.345000,7.250000,7.282500,2.682652,1764400
1995-03-13,7.250000,7.282500,7.220000,7.250000,2.670681,664800
1995-03-14,7.282500,7.345000,7.250000,7.312500,2.693704,2261200
1995-03-15,7.282500,7.345000,7.250000,7.345000,2.705676,739600
1995-03-16,7.312500,7.407500,7.312500,7.345000,2.705676,2568800
1995-03-17,7.312500,7.375000,7.282500,7.345000,2.705676,2437600
1995-03-20,7.312500,7.345000,7.282500,7.345000,2.705676,1450000
1995-03-21,7.312500,7.407500,7.312500,7.375000,2.716728,1941600
1995-03-22,7.375000,7.375000,7.345000,7.375000,2.716728,554400
1995-03-23,7.345000,7.407500,7.345000,7.375000,2.716728,1096400
1995-03-24,7.375000,7.375000,7.312500,7.345000,2.705676,1776800
1995-03-27,7.312500,7.345000,7.250000,7.312500,2.693704,527600
1995-03-28,7.282500,7.282500,7.220000,7.250000,2.670681,1923600
1995-03-29,7.220000,7.312500,7.187500,7.282500,2.682652,2480800
1995-03-30,7.345000,7.345000,7.220000,7.250000,2.670681,3148800
1995-03-31,7.187500,7.250000,7.157500,7.187500,2.647657,2231600
1995-04-03,7.187500,7.187500,7.095000,7.125000,2.624635,4448800
1995-04-04,7.125000,7.157500,7.095000,7.125000,2.624635,3330000
1995-04-05,7.095000,7.220000,7.095000,7.220000,2.659631,2495200
1995-04-06,7.220000,7.345000,7.220000,7.250000,2.670681,6262400
1995-04-07,7.312500,7.312500,7.157500,7.220000,2.659631,5502000
1995-04-10,7.187500,7.282500,7.157500,7.250000,2.670681,1441600
1995-04-11,7.282500,7.345000,7.250000,7.312500,2.693704,3178000
1995-04-12,7.345000,7.407500,7.312500,7.407500,2.728698,2880400
1995-04-13,7.407500,7.500000,7.407500,7.500000,2.762773,4453200
1995-04-14,null,null,null,null,null,null
1995-04-17,7.500000,7.595000,7.470000,7.532500,2.774746,5958400
1995-04-18,7.500000,7.500000,7.437500,7.437500,2.766377,1724400
1995-04-19,7.407500,7.437500,7.345000,7.375000,2.743130,3311600
1995-04-20,7.375000,7.375000,7.250000,7.282500,2.708723,2485200
1995-04-21,7.282500,7.345000,7.250000,7.312500,2.719882,4971600
1995-04-24,7.312500,7.407500,7.282500,7.375000,2.743130,1272400
1995-04-25,7.407500,7.407500,7.345000,7.375000,2.743130,1410400
1995-04-26,7.375000,7.500000,7.375000,7.470000,2.778463,4430400
1995-04-27,7.470000,7.470000,7.407500,7.437500,2.766377,3007200
1995-04-28,7.437500,7.470000,7.375000,7.470000,2.778463,1402000
1995-05-01,7.437500,7.500000,7.437500,7.500000,2.789624,1933200
1995-05-02,7.500000,7.500000,7.407500,7.470000,2.778463,2470800
1995-05-03,7.407500,7.470000,7.375000,7.437500,2.766377,878400
1995-05-04,7.437500,7.500000,7.407500,7.437500,2.766377,1951600
1995-05-05,7.500000,7.532500,7.437500,7.470000,2.778463,1730800
1995-05-08,7.437500,7.562500,7.437500,7.532500,2.801712,3110000
1995-05-09,7.595000,7.657500,7.562500,7.595000,2.824959,6656800
1995-05-10,7.625000,7.657500,7.562500,7.595000,2.824959,2197200
1995-05-11,7.532500,7.562500,7.470000,7.500000,2.789624,1872400
1995-05-12,7.437500,7.532500,7.407500,7.470000,2.778463,1420800
1995-05-15,7.500000,7.500000,7.437500,7.470000,2.778463,1497200
1995-05-16,7.500000,7.562500,7.470000,7.532500,2.801712,6394000
1995-05-17,7.532500,7.595000,7.532500,7.532500,2.801712,1505600
1995-05-18,7.532500,7.595000,7.500000,7.562500,2.812869,2562800
1995-05-19,7.470000,7.562500,7.470000,7.562500,2.812869,1123600
1995-05-22,null,null,null,null,null,null
1995-05-23,7.532500,7.562500,7.500000,7.562500,2.812869,1514400
1995-05-24,7.562500,7.625000,7.532500,7.625000,2.836118,4388400
1995-05-25,7.595000,7.595000,7.562500,7.595000,2.824959,1905200
1995-05-26,7.562500,7.595000,7.532500,7.562500,2.812869,497600
1995-05-29,7.532500,7.595000,7.532500,7.532500,2.801712,756400
1995-05-30,7.562500,7.562500,7.470000,7.532500,2.801712,3117600
1995-05-31,7.500000,7.595000,7.500000,7.562500,2.812869,2660000
1995-06-01,7.562500,7.625000,7.532500,7.562500,2.812869,3693600
1995-06-02,7.532500,7.657500,7.500000,7.657500,2.848206,6783600
1995-06-05,7.687500,7.782500,7.657500,7.720000,2.871453,4613600
1995-06-06,7.720000,7.812500,7.687500,7.812500,2.905858,2774400
1995-06-07,7.782500,7.782500,7.720000,7.750000,2.882612,3332800
1995-06-08,7.687500,7.812500,7.687500,7.750000,2.882612,574000
1995-06-09,7.720000,7.750000,7.687500,7.687500,2.859364,756400
1995-06-12,7.687500,7.687500,7.595000,7.625000,2.836118,1612800
1995-06-13,7.625000,7.750000,7.625000,7.750000,2.882612,2894000
1995-06-14,7.720000,7.720000,7.657500,7.687500,2.859364,3651200
1995-06-15,7.657500,7.687500,7.562500,7.595000,2.824959,2261600
1995-06-16,7.532500,7.562500,7.532500,7.562500,2.812869,848400
1995-06-19,7.562500,7.657500,7.562500,7.595000,2.824959,922000
1995-06-20,7.595000,7.657500,7.595000,7.657500,2.848206,3258800
1995-06-21,7.657500,7.687500,7.562500,7.595000,2.824959,2398400
1995-06-22,7.595000,7.657500,7.595000,7.657500,2.848206,5258800
1995-06-23,7.625000,7.657500,7.625000,7.657500,2.848206,923600
1995-06-26,7.595000,7.657500,7.595000,7.625000,2.836118,1473600
1995-06-27,7.595000,7.720000,7.595000,7.657500,2.848206,3172000
1995-06-28,7.657500,7.750000,7.625000,7.687500,2.859364,2778000
1995-06-29,7.687500,7.720000,7.657500,7.687500,2.859364,1012400
1995-06-30,7.687500,7.720000,7.657500,7.687500,2.859364,1470000
1995-07-03,null,null,null,null,null,null
1995-07-04,7.657500,7.687500,7.625000,7.657500,2.848206,1139200
1995-07-05,7.687500,7.720000,7.657500,7.687500,2.859364,1882000
1995-07-06,7.687500,7.687500,7.595000,7.687500,2.859364,3332400
1995-07-07,7.657500,7.720000,7.657500,7.687500,2.859364,2660400
1995-07-10,7.687500,7.782500,7.687500,7.720000,2.871453,1857200
1995-07-11,7.720000,7.750000,7.657500,7.687500,2.859364,1510000
1995-07-12,7.657500,7.720000,7.657500,7.720000,2.871453,1694800
1995-07-13,7.687500,7.720000,7.657500,7.657500,2.848206,1706400
1995-07-14,7.657500,7.687500,7.625000,7.657500,2.848206,646800
1995-07-17,7.625000,7.657500,7.595000,7.625000,2.836118,672400
1995-07-18,7.595000,7.625000,7.532500,7.562500,2.812869,1451600
1995-07-19,7.500000,7.532500,7.375000,7.500000,2.789624,3494000
1995-07-20,7.470000,7.470000,7.407500,7.470000,2.778463,1614000
1995-07-21,7.375000,7.437500,7.345000,7.375000,2.770013,1438400
1995-07-24,7.375000,7.407500,7.282500,7.345000,2.758745,1423600
1995-07-25,7.282500,7.345000,7.282500,7.312500,2.746539,1370400
1995-07-26,7.312500,7.345000,7.282500,7.312500,2.746539,718000
1995-07-27,7.282500,7.312500,7.250000,7.312500,2.746539,602000
1995-07-28,7.250000,7.312500,7.220000,7.312500,2.746539,590000
1995-07-31,7.282500,7.312500,7.250000,7.312500,2.746539,420400
1995-08-01,7.282500,7.282500,7.157500,7.187500,2.699591,1237600
1995-08-02,7.220000,7.345000,7.220000,7.250000,2.723064,7508800
1995-08-03,7.220000,7.312500,7.187500,7.282500,2.735271,8400800
1995-08-04,7.282500,7.312500,7.250000,7.282500,2.735271,2323200
1995-08-07,null,null,null,null,null,null
1995-08-08,7.282500,7.375000,7.282500,7.345000,2.758745,4080800
1995-08-09,7.312500,7.437500,7.312500,7.375000,2.770013,1938000
1995-08-10,7.375000,7.437500,7.375000,7.407500,2.782220,602000
1995-08-11,7.407500,7.437500,7.407500,7.437500,2.793488,1756400
1995-08-14,7.407500,7.437500,7.375000,7.437500,2.793488,310000
1995-08-15,7.437500,7.470000,7.375000,7.470000,2.805694,2651200
1995-08-16,7.437500,7.532500,7.437500,7.500000,2.816964,1777200
1995-08-17,7.532500,7.532500,7.437500,7.437500,2.793488,1286400
1995-08-18,7.470000,7.470000,7.375000,7.437500,2.793488,1319200
1995-08-21,7.407500,7.470000,7.407500,7.407500,2.782220,1445600
1995-08-22,7.437500,7.470000,7.375000,7.470000,2.805694,2692400
1995-08-23,7.500000,7.562500,7.470000,7.532500,2.829171,4746000
1995-08-24,7.532500,7.532500,7.437500,7.470000,2.805694,2809600
1995-08-25,7.470000,7.500000,7.437500,7.500000,2.816964,2466800
1995-08-28,7.532500,7.595000,7.500000,7.532500,2.829171,2947600
1995-08-29,7.532500,7.532500,7.437500,7.500000,2.816964,1188400
1995-08-30,7.470000,7.500000,7.407500,7.437500,2.793488,466400
1995-08-31,7.407500,7.500000,7.375000,7.470000,2.805694,4683600
1995-09-01,7.470000,7.470000,7.437500,7.437500,2.793488,660000
1995-09-04,null,null,null,null,null,null
1995-09-05,7.470000,7.562500,7.437500,7.532500,2.829171,2238800
1995-09-06,7.532500,7.595000,7.500000,7.562500,2.840439,2739200
1995-09-07,7.595000,7.625000,7.437500,7.470000,2.805694,3007600
1995-09-08,7.500000,7.500000,7.407500,7.500000,2.816964,4722800
1995-09-11,7.470000,7.470000,7.437500,7.437500,2.793488,2194800
1995-09-12,7.407500,7.437500,7.375000,7.407500,2.782220,3341600
1995-09-13,7.375000,7.407500,7.345000,7.345000,2.758745,5343600
1995-09-14,7.375000,7.375000,7.282500,7.312500,2.746539,4808400
1995-09-15,7.282500,7.375000,7.282500,7.312500,2.746539,1560400
1995-09-18,7.312500,7.375000,7.250000,7.375000,2.770013,1030400
1995-09-19,7.407500,7.407500,7.312500,7.375000,2.770013,3183200
1995-09-20,7.312500,7.437500,7.312500,7.375000,2.770013,9626400
1995-09-21,7.407500,7.470000,7.375000,7.375000,2.770013,8220800
1995-09-22,7.312500,7.375000,7.282500,7.345000,2.758745,2306000
1995-09-25,7.345000,7.407500,7.345000,7.407500,2.782220,12268000
1995-09-26,7.407500,7.437500,7.375000,7.437500,2.793488,6063200
1995-09-27,7.407500,7.407500,7.312500,7.375000,2.770013,3201200
1995-09-28,7.345000,7.345000,7.312500,7.312500,2.746539,1208000
1995-09-29,7.282500,7.407500,7.282500,7.375000,2.770013,5597600
1995-10-02,7.375000,7.407500,7.345000,7.407500,2.782220,3461200
1995-10-03,7.407500,7.657500,7.407500,7.657500,2.876120,11236800
1995-10-04,7.625000,7.720000,7.625000,7.657500,2.876120,6253600
1995-10-05,7.625000,7.657500,7.595000,7.657500,2.876120,3074400
1995-10-06,7.625000,7.625000,7.562500,7.595000,2.852644,3814000
1995-10-09,null,null,null,null,null,null
1995-10-10,7.532500,7.687500,7.470000,7.687500,2.887387,1891600
1995-10-11,7.687500,7.750000,7.625000,7.625000,2.863914,2498400
1995-10-12,7.595000,7.657500,7.595000,7.625000,2.863914,2422000
1995-10-13,7.657500,7.750000,7.657500,7.687500,2.887387,5224800
1995-10-16,7.687500,7.782500,7.687500,7.750000,2.910861,3083200
1995-10-17,7.750000,7.812500,7.720000,7.782500,2.923068,2044400
1995-10-18,7.750000,7.845000,7.720000,7.782500,2.923068,3351600
1995-10-19,7.812500,7.845000,7.720000,7.720000,2.899594,2092800
1995-10-20,7.657500,7.657500,7.595000,7.625000,2.863914,3218000
1995-10-23,7.312500,7.437500,7.125000,7.187500,2.727312,5812800
1995-10-24,7.157500,7.312500,7.062500,7.250000,2.751025,5423200
1995-10-25,7.250000,7.345000,7.125000,7.125000,2.703596,6398000
1995-10-26,7.187500,7.220000,7.032500,7.220000,2.739644,8108000
1995-10-27,7.095000,7.345000,7.095000,7.345000,2.787073,6590400
1995-10-30,7.407500,7.437500,7.250000,7.407500,2.810789,2683600
1995-10-31,7.595000,7.595000,7.437500,7.500000,2.845890,11345600
1995-11-01,7.532500,7.562500,7.470000,7.500000,2.845890,4271600
1995-11-02,7.500000,7.687500,7.437500,7.657500,2.905653,5637200
1995-11-03,7.657500,7.687500,7.625000,7.687500,2.917035,2992400
1995-11-06,7.687500,7.782500,7.657500,7.720000,2.929368,3527600
1995-11-07,7.687500,7.720000,7.625000,7.657500,2.905653,1771600
1995-11-08,7.657500,7.687500,7.625000,7.657500,2.905653,3174800
1995-11-09,7.625000,7.625000,7.532500,7.562500,2.869606,2120400
1995-11-10,7.500000,7.625000,7.500000,7.595000,2.881936,944000
1995-11-13,7.595000,7.720000,7.562500,7.657500,2.905653,1026400
