Date,Dividends
2001-03-23,0.001013
2001-06-25,0.049392
2001-09-24,0.048632
2001-12-24,0.084600
2002-03-26,0.048886
2002-06-24,0.049899
2002-09-23,0.049645
2002-12-23,0.050659
2003-03-24,0.053445
2003-06-23,0.054711
2003-09-25,0.056231
2003-12-29,0.055218
2004-03-25,0.055218
2004-06-25,0.059524
2004-09-27,0.060284
2004-12-29,0.062057
2005-03-28,0.060537
2005-06-27,0.064083
2005-09-27,0.066869
2005-12-23,0.077001
2006-03-28,0.099291
2006-06-27,0.101064
2006-09-26,0.108409
2006-12-22,0.125127
2007-03-27,0.097518
2007-06-26,0.119048
2007-09-25,0.114488
2007-12-24,0.137031
2008-03-26,0.106890
2008-06-25,0.138804
2008-09-25,0.152989
2008-12-24,0.160081
2009-03-26,0.107396
2009-06-25,0.129686
2009-09-25,0.112462
2009-12-24,0.113475
2010-03-26,0.118541
2010-06-25,0.116515
2010-09-27,0.122594
2010-12-24,0.114488
2011-03-25,0.139818
2011-06-24,0.111449
2011-09-23,0.114488
2011-12-23,0.101317
2012-03-23,0.139818
2012-06-22,0.134752
2012-09-21,0.131712
2012-12-24,0.101317
2013-03-21,0.148936
2013-06-19,0.166160
2013-09-18,0.161094
2013-12-27,0.105370
2014-03-19,0.155015
2014-06-18,0.143870
2014-09-17,0.160081
2014-12-29,0.150963
2015-03-18,0.165147
2015-06-17,0.168186
2015-09-16,0.166160
2015-12-29,0.171226
2016-03-16,0.165147
2016-06-15,0.170213
2016-09-14,0.166160
2016-12-28,0.166160
2017-03-24,0.170213
2017-06-23,0.187437
2017-09-25,0.181358
2017-12-28,0.108409
2018-03-23,0.175279
2018-06-25,0.199595
2018-09-19,0.211753
2018-12-28,0.149949
2019-03-25,0.185410
2019-06-19,0.218845
2019-09-24,0.221884
2019-12-30,0.201621
2020-03-25,0.220871
2020-06-24,0.221884
2020-09-24,0.212766
2020-12-30,0.194529
2021-03-25,0.204661
2021-06-24,0.206687
2021-09-24,0.208713
2021-12-30,0.206000
2022-03-25,0.218000
2022-06-24,0.238000
2022-09-23,0.273000
2022-12-29,0.227000
2023-03-22,0.259000
2023-06-26,0.267000
2023-09-25,0.272000
