Date,Date,spread_10_3,Adj Close
2001-11-26,2001-11-26,3.07,25.179031
2001-11-27,2001-11-27,3.0600000000000005,25.179031
2001-11-28,2001-11-28,3.1100000000000003,25.135551
2001-11-29,2001-11-29,2.99,24.894053
2001-11-30,2001-11-30,3.0,25.058275
2001-12-03,2001-12-03,2.9699999999999998,25.058275
2001-12-04,2001-12-04,2.96,25.154879
2001-12-05,2001-12-05,3.15,25.623396
2001-12-06,2001-12-06,3.29,25.623396
2001-12-07,2001-12-07,3.5100000000000002,25.623396
2001-12-10,2001-12-10,3.46,25.623396
2001-12-11,2001-12-11,3.4699999999999998,25.053448
2001-12-12,2001-12-12,3.3499999999999996,25.053448
2001-12-13,2001-12-13,3.44,24.478664
2001-12-14,2001-12-14,3.5100000000000002,24.522139
2001-12-17,2001-12-17,3.5199999999999996,25.034124
2001-12-18,2001-12-18,3.45,24.990656
2001-12-19,2001-12-19,3.39,24.990656
2001-12-20,2001-12-20,3.39,24.874731
2001-12-21,2001-12-21,3.41,24.623569
2001-12-24,2001-12-24,3.46,24.640469
2001-12-26,2001-12-26,3.4699999999999998,24.56801
2001-12-27,2001-12-27,3.3899999999999997,24.872389
2001-12-28,2001-12-28,3.4300000000000006,24.998013
2001-12-31,2001-12-31,3.33,24.959354
2002-01-02,2002-01-02,3.46,24.993177
2002-01-03,2002-01-03,3.43,25.394182
2002-01-04,2002-01-04,3.46,25.790371
2002-01-07,2002-01-07,3.41,25.548796
2002-01-08,2002-01-08,3.42,25.123625
2002-01-09,2002-01-09,3.42,24.534191
2002-01-10,2002-01-10,3.3200000000000003,24.534191
2002-01-11,2002-01-11,3.34,24.316776
2002-01-14,2002-01-14,3.33,23.906094
2002-01-15,2002-01-15,3.28,23.906094
2002-01-16,2002-01-16,3.2699999999999996,23.906094
2002-01-17,2002-01-17,3.3400000000000007,23.62104
2002-01-18,2002-01-18,3.3200000000000003,23.62104
2002-01-22,2002-01-22,3.26,23.62104
2002-01-23,2002-01-23,3.34,23.084751
2002-01-24,2002-01-24,3.3500000000000005,23.273178
2002-01-25,2002-01-25,3.38,23.273178
2002-01-28,2002-01-28,3.3600000000000003,23.273178
2002-01-29,2002-01-29,3.3,23.273178
2002-01-30,2002-01-30,3.2699999999999996,22.128117
2002-01-31,2002-01-31,3.3100000000000005,22.306881
2002-02-01,2002-02-01,3.26,22.451826
2002-02-04,2002-02-04,3.1700000000000004,21.780249
2002-02-05,2002-02-05,3.16,21.103842
2002-02-06,2002-02-06,3.1799999999999997,21.103842
2002-02-07,2002-02-07,3.1999999999999997,20.920256
