Date,Date,spread_10_3,Adj Close
2000-06-16,2000-06-16,0.16000000000000014,47.296692
2000-06-19,2000-06-19,0.16000000000000014,47.975361
2000-06-20,2000-06-20,0.2400000000000002,47.507309
2000-06-21,2000-06-21,0.3000000000000007,48.267902
2000-06-22,2000-06-22,0.28000000000000025,46.852051
2000-06-23,2000-06-23,0.33000000000000007,46.969059
2000-06-26,2000-06-26,0.29000000000000004,47.460499
2000-06-27,2000-06-27,0.2699999999999996,47.893482
2000-06-28,2000-06-28,0.3000000000000007,48.209393
2000-06-29,2000-06-29,0.1900000000000004,48.888069
2000-06-30,2000-06-30,0.15000000000000036,48.490227
2000-07-03,2000-07-03,0.0,49.426338
2000-07-05,2000-07-05,0.0,50.128418
2000-07-06,2000-07-06,0.03000000000000025,49.84758
2000-07-07,2000-07-07,-0.03000000000000025,50.058201
2000-07-10,2000-07-10,-0.05999999999999961,50.573044
2000-07-11,2000-07-11,-0.040000000000000036,51.181534
2000-07-12,2000-07-12,-0.08000000000000007,50.666676
2000-07-13,2000-07-13,-0.16999999999999993,48.490227
2000-07-14,2000-07-14,-0.07000000000000028,47.542431
2000-07-17,2000-07-17,0.019999999999999574,49.051899
2000-07-18,2000-07-18,0.0,48.56044
2000-07-19,2000-07-19,-0.019999999999999574,47.671886
2000-07-20,2000-07-20,-0.16999999999999993,46.993179
2000-07-21,2000-07-21,-0.1200000000000001,47.671886
2000-07-24,2000-07-24,-0.16999999999999993,48.490974
2000-07-25,2000-07-25,-0.16000000000000014,46.993179
2000-07-26,2000-07-26,-0.13999999999999968,46.899586
2000-07-27,2000-07-27,-0.20000000000000018,47.824005
2000-07-28,2000-07-28,-0.16000000000000014,47.508041
2000-07-31,2000-07-31,-0.22999999999999954,46.805954
2000-08-01,2000-08-01,-0.25,48.51437
2000-08-02,2000-08-02,-0.2699999999999996,48.91222
2000-08-03,2000-08-03,-0.28000000000000025,49.286674
2000-08-04,2000-08-04,-0.3200000000000003,48.842026
2000-08-07,2000-08-07,-0.3100000000000005,48.982437
2000-08-08,2000-08-08,-0.33000000000000007,49.005859
2000-08-09,2000-08-09,-0.4400000000000004,46.431526
2000-08-10,2000-08-10,-0.4900000000000002,46.712349
2000-08-11,2000-08-11,-0.5,47.414433
2000-08-14,2000-08-14,-0.4899999999999993,47.320827
2000-08-15,2000-08-15,-0.47000000000000064,46.782558
2000-08-16,2000-08-16,-0.4399999999999995,47.180416
2000-08-17,2000-08-17,-0.45999999999999996,47.601681
2000-08-18,2000-08-18,-0.4899999999999993,46.525127
2000-08-21,2000-08-21,-0.5099999999999998,47.133614
2000-08-22,2000-08-22,-0.5,46.946373
2000-08-23,2000-08-23,-0.5599999999999996,47.180416
2000-08-24,2000-08-24,-0.5599999999999996,47.765484
2000-08-25,2000-08-25,-0.5799999999999992,48.093136
2000-08-28,2000-08-28,-0.54,47.695271
2000-08-29,2000-08-29,-0.5,47.0634
2000-08-30,2000-08-30,-0.5100000000000007,47.367626
2000-08-31,2000-08-31,-0.5799999999999992,47.999523
2000-09-01,2000-09-01,-0.5899999999999999,47.952728
2000-09-05,2000-09-05,-0.5799999999999992,46.653839
2000-09-06,2000-09-06,-0.4900000000000002,45.542198
2000-09-07,2000-09-07,-0.4400000000000004,46.337894
2000-09-08,2000-09-08,-0.40999999999999925,46.443207
2000-09-11,2000-09-11,-0.34000000000000075,46.361317
2000-09-12,2000-09-12,-0.3099999999999996,46.665535
2000-09-13,2000-09-13,-0.34999999999999964,47.133614
2000-09-14,2000-09-14,-0.34999999999999964,47.157009
2000-09-15,2000-09-15,-0.2999999999999998,46.96978
2000-09-18,2000-09-18,-0.27000000000000046,46.431526
2000-09-19,2000-09-19,-0.3099999999999996,46.642132
2000-09-20,2000-09-20,-0.25,46.829369
2000-09-21,2000-09-21,-0.28000000000000025,47.882511
2000-09-22,2000-09-22,-0.3100000000000005,49.637753
2000-09-25,2000-09-25,-0.33999999999999986,49.403679
2000-09-26,2000-09-26,-0.3700000000000001,48.842026
2000-09-27,2000-09-27,-0.3700000000000001,48.959034
2000-09-28,2000-09-28,-0.4299999999999997,49.801559
2000-09-29,2000-09-29,-0.4300000000000006,49.965378
2000-10-02,2000-10-02,-0.4399999999999995,48.982437
2000-10-03,2000-10-03,-0.3700000000000001,49.216473
2000-10-04,2000-10-04,-0.33999999999999986,48.198456
2000-10-05,2000-10-05,-0.3799999999999999,49.497299
2000-10-06,2000-10-06,-0.41999999999999993,48.91222
2000-10-10,2000-10-10,-0.46999999999999975,49.637753
2000-10-11,2000-10-11,-0.46000000000000085,49.310078
2000-10-12,2000-10-12,-0.45999999999999996,49.4505
2000-10-13,2000-10-13,-0.45999999999999996,48.842026
2000-10-16,2000-10-16,-0.54,49.988758
2000-10-17,2000-10-17,-0.6200000000000001,50.737663
2000-10-18,2000-10-18,-0.6399999999999997,50.327164
2000-10-19,2000-10-19,-0.6600000000000001,49.554382
2000-10-20,2000-10-20,-0.6699999999999999,49.999306
2000-10-23,2000-10-23,-0.75,51.181976
2000-10-24,2000-10-24,-0.7199999999999998,50.444279
2000-10-25,2000-10-25,-0.7199999999999998,51.591789
