Date,Date,spread_10_3,Adj Close
2000-06-19,2000-06-19,0.16000000000000014,13.511611
2000-06-20,2000-06-20,0.2400000000000002,13.568872
2000-06-21,2000-06-21,0.3000000000000007,13.635161
2000-06-22,2000-06-22,0.28000000000000025,13.641191
2000-06-23,2000-06-23,0.33000000000000007,13.641191
2000-06-26,2000-06-26,0.29000000000000004,13.451349
2000-06-27,2000-06-27,0.2699999999999996,13.644199
2000-06-28,2000-06-28,0.3000000000000007,13.644199
2000-06-29,2000-06-29,0.1900000000000004,13.644199
2000-06-30,2000-06-30,0.15000000000000036,13.644199
2000-07-03,2000-07-03,0.0,13.722549
2000-07-05,2000-07-05,0.0,13.849108
2000-07-06,2000-07-06,0.03000000000000025,13.89129
2000-07-07,2000-07-07,-0.03000000000000025,13.99375
2000-07-10,2000-07-10,-0.05999999999999961,13.981688
2000-07-11,2000-07-11,-0.040000000000000036,13.975663
2000-07-12,2000-07-12,-0.08000000000000007,13.909375
2000-07-13,2000-07-13,-0.16999999999999993,13.897318
2000-07-14,2000-07-14,-0.07000000000000028,13.867181
2000-07-17,2000-07-17,0.019999999999999574,13.927454
2000-07-18,2000-07-18,0.0,13.969639
2000-07-19,2000-07-19,-0.019999999999999574,13.921006
2000-07-20,2000-07-20,-0.16999999999999993,13.93924
2000-07-21,2000-07-21,-0.1200000000000001,14.139848
2000-07-24,2000-07-24,-0.16999999999999993,14.255356
2000-07-25,2000-07-25,-0.16000000000000014,14.249272
2000-07-26,2000-07-26,-0.13999999999999968,14.452917
2000-07-27,2000-07-27,-0.20000000000000018,14.61402
2000-07-28,2000-07-28,-0.16000000000000014,14.610975
2000-07-31,2000-07-31,-0.22999999999999954,14.510668
2000-08-01,2000-08-01,-0.25,14.817661
2000-08-02,2000-08-02,-0.2699999999999996,14.845016
2000-08-03,2000-08-03,-0.28000000000000025,14.7356
2000-08-04,2000-08-04,-0.3200000000000003,14.504599
2000-08-07,2000-08-07,-0.3100000000000005,14.504599
2000-08-08,2000-08-08,-0.33000000000000007,14.528912
2000-08-09,2000-08-09,-0.4400000000000004,14.541065
2000-08-10,2000-08-10,-0.4900000000000002,14.61402
2000-08-11,2000-08-11,-0.5,14.638336
2000-08-14,2000-08-14,-0.4899999999999993,14.674806
2000-08-15,2000-08-15,-0.47000000000000064,14.589701
2000-08-16,2000-08-16,-0.4399999999999995,14.638336
2000-08-17,2000-08-17,-0.45999999999999996,14.65961
2000-08-18,2000-08-18,-0.4899999999999993,14.528912
2000-08-21,2000-08-21,-0.5099999999999998,14.474194
2000-08-22,2000-08-22,-0.5,14.516754
2000-08-23,2000-08-23,-0.5599999999999996,14.3587
2000-08-24,2000-08-24,-0.5599999999999996,14.258395
2000-08-25,2000-08-25,-0.5799999999999992,14.237121
2000-08-28,2000-08-28,-0.54,14.258395
2000-08-29,2000-08-29,-0.5,14.127694
2000-08-30,2000-08-30,-0.5100000000000007,14.200644
2000-08-31,2000-08-31,-0.5799999999999992,14.29183
2000-09-01,2000-09-01,-0.5899999999999999,14.206724
2000-09-05,2000-09-05,-0.5799999999999992,14.297907
2000-09-06,2000-09-06,-0.4900000000000002,14.410369
2000-09-07,2000-09-07,-0.4400000000000004,14.395173
2000-09-08,2000-09-08,-0.40999999999999925,14.668729
2000-09-11,2000-09-11,-0.34000000000000075,14.753837
2000-09-12,2000-09-12,-0.3099999999999996,14.820704
2000-09-13,2000-09-13,-0.34999999999999964,14.784225
2000-09-14,2000-09-14,-0.34999999999999964,14.759913
2000-09-15,2000-09-15,-0.2999999999999998,14.77207
2000-09-18,2000-09-18,-0.27000000000000046,14.571465
2000-09-19,2000-09-19,-0.3099999999999996,14.617056
