Date,Open,High,Low,Close,Adj Close,Volume
2000-06-16,62.875000,63.593750,62.875000,63.156250,47.296692,11100
2000-06-19,62.765625,64.062500,62.765625,64.062500,47.975361,1800
2000-06-20,64.000000,64.000000,63.437500,63.437500,47.507309,4800
2000-06-21,64.000000,64.453125,64.000000,64.453125,48.267902,8900
2000-06-22,63.937500,63.937500,62.562500,62.562500,46.852051,4400
2000-06-23,62.906250,62.906250,62.531250,62.718750,46.969059,600
2000-06-26,63.062500,63.531250,63.062500,63.375000,47.460499,1000
2000-06-27,64.031250,64.281250,63.734375,63.953125,47.893482,27700
2000-06-28,64.000000,64.375000,62.218750,64.375000,48.209393,20600
2000-06-29,65.250000,65.281250,64.750000,65.281250,48.888069,800
2000-06-30,65.031250,65.125000,64.625000,64.750000,48.490227,88200
2000-07-03,65.812500,66.031250,65.500000,66.000000,49.426338,3000
2000-07-05,66.250000,67.250000,66.250000,66.937500,50.128418,2600
2000-07-06,66.812500,66.812500,66.250000,66.562500,49.847580,4100
2000-07-07,66.812500,67.343750,66.750000,66.843750,50.058201,31300
2000-07-10,67.093750,68.000000,67.000000,67.531250,50.573044,4700
2000-07-11,67.781250,68.687500,67.562500,68.343750,51.181534,25700
2000-07-12,68.343750,68.343750,67.312500,67.656250,50.666676,112000
2000-07-13,66.750000,66.750000,64.750000,64.750000,48.490227,13300
2000-07-14,64.500000,64.500000,62.906250,63.484375,47.542431,11000
2000-07-17,63.734375,65.906250,63.734375,65.500000,49.051899,18800
2000-07-18,65.500000,65.500000,64.812500,64.843750,48.560440,2000
2000-07-19,65.031250,65.031250,63.375000,63.656250,47.671886,7400
2000-07-20,62.937500,63.250000,62.750000,62.750000,46.993179,15900
2000-07-21,63.000000,63.718750,63.000000,63.656250,47.671886,22900
2000-07-24,64.312500,65.031250,64.312500,64.750000,48.490974,2200
2000-07-25,64.187500,64.187500,62.750000,62.750000,46.993179,3200
2000-07-26,62.812500,63.406250,62.484375,62.625000,46.899586,3100
2000-07-27,62.968750,63.859375,62.812500,63.859375,47.824005,3500
2000-07-28,63.625000,63.718750,63.218750,63.437500,47.508041,3000
2000-07-31,63.437500,63.437500,62.437500,62.500000,46.805954,7000
2000-08-01,63.968750,64.906250,63.625000,64.781250,48.514370,36700
2000-08-02,64.718750,65.625000,64.562500,65.312500,48.912220,17400
2000-08-03,65.375000,65.812500,65.343750,65.812500,49.286674,3500
2000-08-04,65.625000,65.625000,65.000000,65.218750,48.842026,2400
2000-08-07,65.562500,65.562500,65.406250,65.406250,48.982437,600
2000-08-08,65.000000,65.656250,64.531250,65.437500,49.005859,5600
2000-08-09,64.875000,65.468750,62.000000,62.000000,46.431526,103800
2000-08-10,62.250000,62.750000,62.218750,62.375000,46.712349,5400
2000-08-11,62.593750,63.437500,62.437500,63.312500,47.414433,4400
2000-08-14,63.312500,63.312500,62.687500,63.187500,47.320827,4700
2000-08-15,63.000000,63.218750,62.468750,62.468750,46.782558,9600
2000-08-16,62.875000,63.250000,62.812500,63.000000,47.180416,7000
2000-08-17,62.875000,63.781250,62.875000,63.562500,47.601681,5400
2000-08-18,62.843750,62.843750,61.937500,62.125000,46.525127,30300
2000-08-21,62.218750,63.093750,62.218750,62.937500,47.133614,3100
2000-08-22,63.000000,63.218750,62.687500,62.687500,46.946373,4500
2000-08-23,62.906250,63.375000,62.906250,63.000000,47.180416,6700
2000-08-24,63.312500,63.812500,63.296875,63.781250,47.765484,10000
2000-08-25,63.968750,64.312500,63.968750,64.218750,48.093136,13900
2000-08-28,64.312500,64.562500,63.687500,63.687500,47.695271,5500
2000-08-29,63.328125,63.640625,62.843750,62.843750,47.063400,7700
