Date,Open,High,Low,Close,Adj Close,Volume
1999-09-30,8.825000,8.825000,8.700000,8.725000,4.075521,2217000
1999-10-01,8.725000,8.725000,8.625000,8.675000,4.052165,1606000
1999-10-04,8.650000,8.725000,8.650000,8.700000,4.063840,2677200
1999-10-05,8.625000,8.750000,8.625000,8.650000,4.040488,1749800
1999-10-06,8.700000,8.700000,8.625000,8.700000,4.063840,1775000
1999-10-07,8.650000,8.725000,8.575000,8.625000,4.028810,2148600
1999-10-08,8.625000,8.750000,8.500000,8.575000,4.005454,967200
1999-10-11,null,null,null,null,null,null
1999-10-12,8.500000,8.650000,8.475000,8.625000,4.028810,2677000
1999-10-13,8.550000,8.725000,8.550000,8.600000,4.017131,3018600
1999-10-14,8.675000,8.675000,8.500000,8.650000,4.040488,1050600
1999-10-15,8.625000,8.625000,8.500000,8.575000,4.005454,1625200
1999-10-18,8.550000,8.700000,8.550000,8.700000,4.063840,1468000
1999-10-19,8.750000,9.025000,8.750000,9.000000,4.203976,3350000
1999-10-20,9.000000,9.150000,8.850000,8.875000,4.145586,1886800
1999-10-21,8.875000,8.900000,8.800000,8.850000,4.133912,2145800
1999-10-22,8.850000,8.850000,8.750000,8.825000,4.122233,1935000
1999-10-25,8.825000,9.000000,8.800000,8.925000,4.168943,910400
1999-10-26,8.950000,9.100000,8.900000,9.100000,4.250685,4218400
1999-10-27,9.025000,9.100000,9.000000,9.025000,4.215653,1221400
1999-10-28,9.100000,9.125000,8.975000,8.975000,4.192298,2481800
1999-10-29,9.050000,9.050000,8.625000,8.850000,4.133912,1940600
1999-11-01,8.825000,8.875000,8.750000,8.850000,4.133912,2259400
1999-11-02,8.850000,8.975000,8.825000,8.975000,4.192298,1690400
1999-11-03,9.000000,9.050000,8.975000,9.025000,4.215653,1838200
1999-11-04,9.025000,9.125000,9.000000,9.100000,4.250685,2165000
1999-11-05,9.125000,9.200000,9.075000,9.150000,4.274044,2723600
1999-11-08,9.125000,9.150000,9.050000,9.050000,4.227332,1946200
1999-11-09,9.025000,9.075000,8.975000,9.075000,4.239009,1146000
1999-11-10,9.025000,9.175000,9.000000,9.125000,4.262364,2116800
1999-11-11,9.125000,9.875000,9.100000,9.800000,4.577662,2262600
1999-11-12,9.875000,10.075000,9.750000,9.950000,4.647728,2585600
1999-11-15,10.050000,10.500000,9.700000,10.500000,4.904640,1442800
1999-11-16,10.550000,10.550000,10.050000,10.150000,4.741150,3353400
1999-11-17,10.125000,10.200000,9.775000,9.975000,4.659408,13716800
1999-11-18,10.000000,10.100000,9.825000,9.900000,4.624373,2607400
1999-11-19,9.900000,9.925000,9.500000,9.600000,4.484241,7155600
1999-11-22,9.625000,9.625000,9.425000,9.500000,4.437531,2753600
1999-11-23,9.525000,9.575000,9.450000,9.525000,4.449206,5849400
1999-11-24,9.525000,9.525000,9.275000,9.400000,4.390820,1474400
1999-11-25,9.475000,9.700000,9.425000,9.675000,4.519274,1624600
1999-11-26,9.675000,9.675000,9.450000,9.500000,4.437531,2418400
1999-11-29,9.475000,9.575000,9.425000,9.525000,4.449206,1965200
1999-11-30,9.500000,9.575000,9.450000,9.450000,4.414174,2268000
1999-12-01,9.500000,9.500000,9.350000,9.400000,4.390820,1801800
1999-12-02,9.425000,9.500000,9.375000,9.450000,4.414174,956600
1999-12-03,9.500000,9.600000,9.450000,9.525000,4.449206,2480800
1999-12-06,9.550000,9.550000,9.400000,9.475000,4.425853,2274600
1999-12-07,9.525000,9.525000,9.375000,9.400000,4.390820,3457000
1999-12-08,9.400000,9.425000,9.275000,9.300000,4.344108,2652400
1999-12-09,9.350000,9.375000,9.250000,9.275000,4.332432,2418800
1999-12-10,9.300000,9.350000,9.250000,9.275000,4.332432,2664000
1999-12-13,9.325000,9.325000,9.200000,9.225000,4.309076,3039800
1999-12-14,9.250000,9.375000,9.175000,9.250000,4.320754,4015600
1999-12-15,9.275000,9.300000,9.150000,9.225000,4.309076,1732400
1999-12-16,9.250000,9.325000,9.225000,9.250000,4.320754,941600
1999-12-17,9.275000,9.400000,9.250000,9.350000,4.367464,2336400
1999-12-20,9.375000,9.400000,9.275000,9.375000,4.379142,913800
1999-12-21,9.350000,9.350000,9.250000,9.250000,4.320754,1077000
1999-12-22,9.250000,9.375000,9.150000,9.275000,4.332432,789200
1999-12-23,9.250000,9.275000,9.050000,9.150000,4.274044,2259600
1999-12-24,9.200000,9.300000,9.125000,9.250000,4.320754,809400
1999-12-27,null,null,null,null,null,null
1999-12-28,null,null,null,null,null,null
1999-12-29,9.000000,9.250000,8.950000,9.025000,4.215653,1772000
1999-12-30,9.025000,9.075000,8.950000,9.000000,4.203976,698800
1999-12-31,9.025000,9.225000,9.000000,9.225000,4.309076,1017600
2000-01-03,null,null,null,null,null,null
2000-01-04,8.750000,9.000000,8.700000,8.925000,4.168943,3415400
2000-01-05,8.950000,9.025000,8.850000,9.000000,4.203976,3994800
2000-01-06,9.000000,9.100000,8.975000,9.000000,4.203976,1700600
2000-01-07,9.125000,9.125000,8.950000,9.000000,4.203976,2085200
2000-01-10,9.050000,9.050000,8.950000,9.000000,4.203976,4040800
2000-01-11,9.025000,9.025000,8.875000,8.950000,4.180623,3152400
2000-01-12,9.000000,9.000000,8.800000,8.900000,4.157267,1933400
2000-01-13,8.875000,8.950000,8.800000,8.900000,4.157267,2763400
