Date,10 Yr,3 Mo,Spread
2005-01-03,4.23,2.32,1.9100000000000006
2005-01-04,4.29,2.33,1.96
2005-01-05,4.29,2.33,1.96
2005-01-06,4.29,2.31,1.98
2005-01-07,4.29,2.32,1.9700000000000002
2005-01-10,4.29,2.36,1.9300000000000002
2005-01-11,4.26,2.34,1.92
2005-01-12,4.25,2.34,1.9100000000000001
2005-01-13,4.2,2.35,1.85
2005-01-14,4.23,2.37,1.8600000000000003
2005-01-18,4.21,2.39,1.8199999999999998
2005-01-19,4.2,2.37,1.83
2005-01-20,4.17,2.35,1.8199999999999998
2005-01-21,4.16,2.36,1.8000000000000003
2005-01-24,4.14,2.37,1.7699999999999996
2005-01-25,4.2,2.39,1.81
2005-01-26,4.21,2.41,1.7999999999999998
2005-01-27,4.22,2.44,1.7799999999999998
2005-01-28,4.16,2.46,1.7000000000000002
2005-01-31,4.14,2.51,1.63
2005-02-01,4.15,2.51,1.6400000000000006
2005-02-02,4.15,2.51,1.6400000000000006
2005-02-03,4.18,2.48,1.6999999999999997
2005-02-04,4.09,2.47,1.6199999999999997
2005-02-07,4.07,2.51,1.5600000000000005
2005-02-08,4.05,2.49,1.5599999999999996
2005-02-09,4.0,2.51,1.4900000000000002
2005-02-10,4.07,2.51,1.5600000000000005
2005-02-11,4.1,2.55,1.5499999999999998
2005-02-14,4.08,2.59,1.4900000000000002
2005-02-15,4.1,2.59,1.5099999999999998
2005-02-16,4.16,2.57,1.5900000000000003
2005-02-17,4.19,2.58,1.6100000000000003
2005-02-18,4.27,2.61,1.6599999999999997
2005-02-22,4.29,2.67,1.62
2005-02-23,4.27,2.67,1.5999999999999996
2005-02-24,4.29,2.69,1.6
2005-02-25,4.27,2.74,1.5299999999999994
2005-02-28,4.36,2.76,1.6000000000000005
2005-03-01,4.38,2.75,1.63
2005-03-02,4.38,2.74,1.6399999999999997
2005-03-03,4.39,2.76,1.63
2005-03-04,4.32,2.76,1.5600000000000005
2005-03-07,4.31,2.76,1.5499999999999998
2005-03-08,4.38,2.75,1.63
2005-03-09,4.52,2.76,1.7599999999999998
2005-03-10,4.48,2.75,1.7300000000000004
2005-03-11,4.56,2.76,1.7999999999999998
2005-03-14,4.52,2.8,1.7199999999999998
2005-03-15,4.54,2.81,1.73
2005-03-16,4.52,2.8,1.7199999999999998
2005-03-17,4.47,2.79,1.6799999999999997
2005-03-18,4.51,2.81,1.6999999999999997
2005-03-21,4.53,2.85,1.6800000000000002
2005-03-22,4.63,2.89,1.7399999999999998
2005-03-23,4.61,2.83,1.7800000000000002
2005-03-24,4.6,2.84,1.7599999999999998
2005-03-28,4.64,2.84,1.7999999999999998
2005-03-29,4.6,2.84,1.7599999999999998
2005-03-30,4.56,2.83,1.7299999999999995
2005-03-31,4.5,2.79,1.71
2005-04-01,4.46,2.8,1.6600000000000001
2005-04-04,4.47,2.8,1.67
2005-04-05,4.48,2.79,1.6900000000000004
2005-04-06,4.44,2.76,1.6800000000000006
2005-04-07,4.49,2.77,1.7200000000000002
2005-04-08,4.5,2.79,1.71
2005-04-11,4.45,2.76,1.6900000000000004
2005-04-12,4.38,2.76,1.62
2005-04-13,4.38,2.77,1.6099999999999999
2005-04-14,4.37,2.78,1.5900000000000003
2005-04-15,4.27,2.79,1.4799999999999995
2005-04-18,4.27,2.9,1.3699999999999997
2005-04-19,4.21,2.91,1.2999999999999998
2005-04-20,4.22,2.87,1.3499999999999996
2005-04-21,4.32,2.88,1.4400000000000004
2005-04-22,4.26,2.93,1.3299999999999996
2005-04-25,4.26,2.93,1.3299999999999996
2005-04-26,4.28,2.91,1.37
2005-04-27,4.25,2.89,1.3599999999999999
2005-04-28,4.19,2.88,1.3100000000000005
2005-04-29,4.21,2.9,1.31
2005-05-02,4.21,2.93,1.2799999999999998
2005-05-03,4.21,2.91,1.2999999999999998
2005-05-04,4.2,2.87,1.33
2005-05-05,4.19,2.81,1.3800000000000003
2005-05-06,4.28,2.87,1.4100000000000001
2005-05-09,4.29,2.91,1.38
2005-05-10,4.23,2.9,1.3300000000000005
2005-05-11,4.21,2.87,1.3399999999999999
2005-05-12,4.18,2.88,1.2999999999999998
2005-05-13,4.12,2.83,1.29
2005-05-16,4.13,2.89,1.2399999999999998
2005-05-17,4.12,2.88,1.2400000000000002
2005-05-18,4.07,2.86,1.2100000000000004
2005-05-19,4.11,2.87,1.2400000000000002
2005-05-20,4.13,2.9,1.23
2005-05-23,4.07,2.97,1.1
2005-05-24,4.04,2.94,1.1
2005-05-25,4.08,2.95,1.13
2005-05-26,4.08,2.94,1.1400000000000001
2005-05-27,4.08,2.97,1.1099999999999999
2005-05-31,4.0,2.99,1.0099999999999998
2005-06-01,3.91,2.97,0.94
2005-06-02,3.89,2.97,0.9199999999999999
2005-06-03,3.98,3.01,0.9700000000000002
2005-06-06,3.96,3.02,0.94
2005-06-07,3.92,3.02,0.8999999999999999
2005-06-08,3.95,3.02,0.9300000000000002
2005-06-09,3.98,2.99,0.9899999999999998
2005-06-10,4.05,3.01,1.04
2005-06-13,4.09,3.03,1.06
2005-06-14,4.13,3.01,1.12
2005-06-15,4.12,3.0,1.12
2005-06-16,4.09,2.98,1.1099999999999999
2005-06-17,4.09,2.99,1.0999999999999996
2005-06-20,4.11,3.02,1.0900000000000003
2005-06-21,4.06,3.02,1.0399999999999996
2005-06-22,3.95,3.03,0.9200000000000004
2005-06-23,3.96,3.07,0.8900000000000001
2005-06-24,3.92,3.09,0.8300000000000001
2005-06-27,3.9,3.15,0.75
2005-06-28,3.97,3.14,0.8300000000000001
2005-06-29,3.99,3.13,0.8600000000000003
2005-06-30,3.94,3.13,0.81
2005-07-01,4.06,3.17,0.8899999999999997
2005-07-05,4.11,3.22,0.8900000000000001
2005-07-06,4.08,3.19,0.8900000000000001
2005-07-07,4.05,3.15,0.8999999999999999
2005-07-08,4.11,3.17,0.9400000000000004
2005-07-11,4.11,3.19,0.9200000000000004
2005-07-12,4.15,3.21,0.9400000000000004
2005-07-13,4.17,3.22,0.9499999999999997
2005-07-14,4.19,3.23,0.9600000000000004
2005-07-15,4.18,3.26,0.9199999999999999
2005-07-18,4.22,3.3,0.9199999999999999
2005-07-19,4.2,3.31,0.8900000000000001
2005-07-20,4.17,3.3,0.8700000000000001
2005-07-21,4.28,3.35,0.9300000000000002
2005-07-22,4.23,3.38,0.8500000000000005
2005-07-25,4.25,3.44,0.81
2005-07-26,4.24,3.43,0.81
2005-07-27,4.27,3.4,0.8699999999999997
2005-07-28,4.2,3.41,0.79
2005-07-29,4.28,3.42,0.8600000000000003
2005-08-01,4.32,3.48,0.8400000000000003
2005-08-02,4.34,3.49,0.8499999999999996
2005-08-03,4.3,3.46,0.8399999999999999
2005-08-04,4.32,3.47,0.8500000000000001
2005-08-05,4.4,3.52,0.8800000000000003
2005-08-08,4.42,3.54,0.8799999999999999
2005-08-09,4.41,3.52,0.8900000000000001
2005-08-10,4.4,3.51,0.8900000000000006
2005-08-11,4.32,3.51,0.8100000000000005
2005-08-12,4.24,3.52,0.7200000000000002
2005-08-15,4.27,3.54,0.7299999999999995
2005-08-16,4.23,3.54,0.6900000000000004
2005-08-17,4.28,3.52,0.7600000000000002
2005-08-18,4.21,3.5,0.71
2005-08-19,4.21,3.52,0.69
2005-08-22,4.22,3.53,0.69
2005-08-23,4.2,3.53,0.6700000000000004
2005-08-24,4.19,3.53,0.6600000000000006
2005-08-25,4.18,3.54,0.6399999999999997
2005-08-26,4.2,3.55,0.6500000000000004
2005-08-29,4.2,3.54,0.6600000000000001
2005-08-30,4.16,3.54,0.6200000000000001
2005-08-31,4.02,3.52,0.49999999999999956
2005-09-01,4.02,3.48,0.5399999999999996
2005-09-02,4.03,3.46,0.5700000000000003
2005-09-06,4.09,3.52,0.5699999999999998
2005-09-07,4.15,3.49,0.6600000000000001
2005-09-08,4.15,3.48,0.6700000000000004
2005-09-09,4.14,3.49,0.6499999999999995
2005-09-12,4.18,3.51,0.6699999999999999
